anime,title,number,released,video,type,host,status,thumbnail
Cardfight!! Vanguard: overDress,Cardfight!! Vanguard: overDress Episode 1,1,,https://filemoon.sx/e/jjlx6yodurtp/Cardfight!!_Vanguard_overDress_S01E01_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/9iorsccy89vo,sub;sub,FileMoon;StreamWISH,publish,
Cardfight!! Vanguard: overDress,Cardfight!! Vanguard: overDress Episode 2,2,,https://filemoon.sx/e/am2u4xbrnolv/Cardfight!!_Vanguard_overDress_S01E02_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/dpv924i86v2b,sub;sub,FileMoon;StreamWISH,publish,
Cardfight!! Vanguard: overDress,Cardfight!! Vanguard: overDress Episode 3,3,,https://filemoon.sx/e/wmw3pgmh279t/Cardfight!!_Vanguard_overDress_S01E03_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/j9e2qz54a5gn,sub;sub,FileMoon;StreamWISH,publish,
Cardfight!! Vanguard: overDress,Cardfight!! Vanguard: overDress Episode 4,4,,https://filemoon.sx/e/le43iuro6vwj/Cardfight!!_Vanguard_overDress_S01E04_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/vv8c1wzat9u9,sub;sub,FileMoon;StreamWISH,publish,
Cardfight!! Vanguard: overDress,Cardfight!! Vanguard: overDress Episode 5,5,,https://filemoon.sx/e/dhqc60y996l0/Cardfight!!_Vanguard_overDress_S01E05_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/y0thlnj8zwvi,sub;sub,FileMoon;StreamWISH,publish,
Cardfight!! Vanguard: overDress,Cardfight!! Vanguard: overDress Episode 6,6,,https://filemoon.sx/e/0sdtaljie76g/Cardfight!!_Vanguard_overDress_S01E06_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/jlma5zfo6oep,sub;sub,FileMoon;StreamWISH,publish,
Cardfight!! Vanguard: overDress,Cardfight!! Vanguard: overDress Episode 7,7,,https://filemoon.sx/e/23npkqel6tzl/Cardfight!!_Vanguard_overDress_S01E07_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/3epumjscgwiw,sub;sub,FileMoon;StreamWISH,publish,
Cardfight!! Vanguard: overDress,Cardfight!! Vanguard: overDress Episode 8,8,,https://filemoon.sx/e/0uxl85ata3o4/Cardfight!!_Vanguard_overDress_S01E08_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/to4ztikcc8gv,sub;sub,FileMoon;StreamWISH,publish,
Cardfight!! Vanguard: overDress,Cardfight!! Vanguard: overDress Episode 9,9,,https://filemoon.sx/e/gzhot5f3m9cn/Cardfight!!_Vanguard_overDress_S01E09_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/6j73i2gzjd6o,sub;sub,FileMoon;StreamWISH,publish,
Cardfight!! Vanguard: overDress,Cardfight!! Vanguard: overDress Episode 10,10,,https://filemoon.sx/e/tppj3xv6sqn7/Cardfight!!_Vanguard_overDress_S01E10_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/nkbmr24f83dm,sub;sub,FileMoon;StreamWISH,publish,
Cardfight!! Vanguard: overDress,Cardfight!! Vanguard: overDress Episode 11,11,,https://filemoon.sx/e/7ilciz2m73ia/Cardfight!!_Vanguard_overDress_S01E11_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/zdo0ofgom9xr,sub;sub,FileMoon;StreamWISH,publish,
Cardfight!! Vanguard: overDress,Cardfight!! Vanguard: overDress Episode 12,12,,https://filemoon.sx/e/dqnyqn84rz36/Cardfight!!_Vanguard_overDress_S01E12_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/8ke3jef9yfnh,sub;sub,FileMoon;StreamWISH,publish,
