anime,title,number,released,video,type,host,status,thumbnail
Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura: Clear Card-hen Episode 1,1,,https://filemoon.sx/e/7oivo0twn6k0/Cardcaptor_Sakura_-_Clear_Card_S01E01_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/req2h1vmnpjc,sub;sub,FileMoon;StreamWISH,publish,https://www.themoviedb.org/t/p/w227_and_h127_bestv2/qt2JwzcIguV0HA1eCsFACEnrOhp.jpg
Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura: Clear Card-hen Episode 2,2,,https://filemoon.sx/e/u4p9j9q90e7l/Cardcaptor_Sakura_-_Clear_Card_S01E02_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/1xtft3492urz,sub;sub,FileMoon;StreamWISH,publish,https://www.themoviedb.org/t/p/w227_and_h127_bestv2/yXlABBSpHLDwCP58gZgvlFN3jjy.jpg
Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura: Clear Card-hen Episode 3,3,,https://filemoon.sx/e/opqyvzcpy2vq/Cardcaptor_Sakura_-_Clear_Card_S01E03_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/5gkoygkz1c3m,sub;sub,FileMoon;StreamWISH,publish,
Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura: Clear Card-hen Episode 4,4,,https://filemoon.sx/e/yai2hefq8ly6/Cardcaptor_Sakura_-_Clear_Card_S01E04_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/0dovnahs82qd,sub;sub,FileMoon;StreamWISH,publish,
Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura: Clear Card-hen Episode 5,5,,https://filemoon.sx/e/umwfureppdjg/Cardcaptor_Sakura_-_Clear_Card_S01E05_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/9fbquzxrdepg,sub;sub,FileMoon;StreamWISH,publish,
Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura: Clear Card-hen Episode 6,6,,https://filemoon.sx/e/uj3hvpcoegrp/Cardcaptor_Sakura_-_Clear_Card_S01E06_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/03gjb54xlhfe,sub;sub,FileMoon;StreamWISH,publish,
Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura: Clear Card-hen Episode 7,7,,https://filemoon.sx/e/grxl0qnr6iq0/Cardcaptor_Sakura_-_Clear_Card_S01E07_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/biz4dvzhd8e3,sub;sub,FileMoon;StreamWISH,publish,
Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura: Clear Card-hen Episode 8,8,,https://filemoon.sx/e/qdhkdwo152jd/Cardcaptor_Sakura_-_Clear_Card_S01E08_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/pece3v6ksn56,sub;sub,FileMoon;StreamWISH,publish,
Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura: Clear Card-hen Episode 9,9,,https://filemoon.sx/e/z8y4mmqbdmsk/Cardcaptor_Sakura_-_Clear_Card_S01E09_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/ea6gidye4g77,sub;sub,FileMoon;StreamWISH,publish,
Cardcaptor Sakura: Clear Card-hen,Cardcaptor Sakura: Clear Card-hen Episode 10,10,,https://filemoon.sx/e/28qx4u344bc2/Cardcaptor_Sakura_-_Clear_Card_S01E10_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/gvj1ypr4jqjr,sub;sub,FileMoon;StreamWISH,publish,
