anime,title,number,released,video,type,host,status,thumbnail
Dragon Ball,Dragon Ball Episode 1,1,,https://filemoon.sx/e/5lw0r5dimvft/Srdragonballe001_1_;https://filemoon.sx/e/midp4mk7149x/Srdragonballe001,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 2,2,,https://filemoon.sx/e/0g9wbul8mmu6/Srdragonballe002;https://filemoon.sx/e/1d0tc9sp2t4n/Srdragonballe002,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 3,3,,https://filemoon.sx/e/k88uv5d4u3di/Srdragonballe003;https://filemoon.sx/e/3e5l9g7itgdc/Srdragonballe003,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 4,4,,https://filemoon.sx/e/fycihoeg409w/Srdragonballe004;https://filemoon.sx/e/nntw2ldkjxmj/Srdragonballe004,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 5,5,,https://filemoon.sx/e/ayiovaztrox5/Srdragonballe005;https://filemoon.sx/e/p8de03ti5vad/Srdragonballe005,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 6,6,,https://filemoon.sx/e/5mcru7nur5kk/Srdragonballe006;https://filemoon.sx/e/udvv43vuuune/Srdragonballe006,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 7,7,,https://filemoon.sx/e/auw2fmlktgl1/Srdragonballe007;https://filemoon.sx/e/7k1wbknddwhq/Srdragonballe007,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 8,8,,https://filemoon.sx/e/xxq4hlmaccjq/Srdragonballe008;https://filemoon.sx/e/5s580ygd19af/Srdragonballe008,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 9,9,,https://filemoon.sx/e/l0miinu2srpi/Srdragonballe009;https://filemoon.sx/e/xv2mfjfcfrok/Srdragonballe009,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 10,10,,https://filemoon.sx/e/0n70x4wrl6qk/Srdragonballe010;https://filemoon.sx/e/0t2s76aj2fl9/Srdragonballe010,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 11,11,,https://filemoon.sx/e/6zlrnckotxg4/Srdragonballe011;https://filemoon.sx/e/3pry464b932n/Srdragonballe011,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 12,12,,https://filemoon.sx/e/sc5r3n4ekxhi/Srdragonballe012;https://filemoon.sx/e/k16wryukl6a7/Srdragonballe012,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 13,13,,https://filemoon.sx/e/6l53m6zc1m56/Srdragonballe013;https://filemoon.sx/e/scxqhgrc2jbi/Srdragonballe013,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 14,14,,https://filemoon.sx/e/c3aeb2qzfdpa/Srdragonballe014;https://filemoon.sx/e/4p8zuij8oyg4/Srdragonballe014,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 15,15,,https://filemoon.sx/e/jgiw6s9t9t60/Srdragonballe015;https://filemoon.sx/e/xcuav0hu6myc/Srdragonballe015,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 16,16,,https://filemoon.sx/e/h2d4ndcxrt6r/Srdragonballe016;https://filemoon.sx/e/co0om10z9ao2/Srdragonballe016,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 17,17,,https://filemoon.sx/e/akb4mk5x2w99/Srdragonballe017;https://filemoon.sx/e/a0i9kxy2wzda/Srdragonballe017,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 18,18,,https://filemoon.sx/e/9br5or5xf7nr/Srdragonballe018;https://filemoon.sx/e/uucr2i077vtb/Srdragonballe018,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 19,19,,https://filemoon.sx/e/0ue9l3k5b8n2/Srdragonballe019;https://filemoon.sx/e/llrfbo58vfxq/Srdragonballe019,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 20,20,,https://filemoon.sx/e/phnvo7q8ojh1/Srdragonballe020;https://filemoon.sx/e/rkln4730lam6/Srdragonballe020,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 21,21,,https://filemoon.sx/e/8dvgk0h3aflm/Srdragonballe021;https://filemoon.sx/e/vz9gq5o28tce/Srdragonballe021,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 22,22,,https://filemoon.sx/e/h2zgc9jv7l5l/Srdragonballe022;https://filemoon.sx/e/9r6evph1nlfh/Srdragonballe022,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 23,23,,https://filemoon.sx/e/gta8b346rpy4/Srdragonballe023;https://filemoon.sx/e/tv2ipbnk80nz/Srdragonballe023,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 24,24,,https://filemoon.sx/e/fex9wy2dkz23/Srdragonballe024;https://filemoon.sx/e/09ozjn4rdh41/Srdragonballe024,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 25,25,,https://filemoon.sx/e/gzj4mtn3ihps/Srdragonballe025;https://filemoon.sx/e/d0nl6bf95e5x/Srdragonballe025,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 26,26,,https://filemoon.sx/e/sp7psh7ktc2j/Srdragonballe026;https://filemoon.sx/e/rtwxd90ikagj/Srdragonballe026,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 27,27,,https://filemoon.sx/e/77vm30zp07hb/Srdragonballe027;https://filemoon.sx/e/3lkp7tyc5wsj/Srdragonballe027,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 28,28,,https://filemoon.sx/e/h32co077cim5/Srdragonballe028;https://filemoon.sx/e/xnwh8mi9fri6/Srdragonballe028,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 29,29,,https://filemoon.sx/e/xrfcz69czqtj/Srdragonballe029;https://filemoon.sx/e/cgdrzxde7k6q/Srdragonballe029,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 30,30,,https://filemoon.sx/e/lgzfi2va5z9m/Srdragonballe030;https://filemoon.sx/e/gg76e2pzf0m1/Srdragonballe030,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 31,31,,https://filemoon.sx/e/s5roim7mjtw7/Srdragonballe031;https://filemoon.sx/e/ifbycpzb3p5z/Srdragonballe031,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 32,32,,https://filemoon.sx/e/69fd29v4g3vv/Srdragonballe032;https://filemoon.sx/e/mwxbfei907dv/Srdragonballe032;https://filemoon.sx/e/yqlm56xdocua/Srdragonballe032,sub;dub;dub,FileMoon;FileMoon;FileMoon²,publish,
Dragon Ball,Dragon Ball Episode 33,33,,https://filemoon.sx/e/kg314zzjmqec/Srdragonballe033;https://filemoon.sx/e/zav3454pcrhi/Srdragonballe033,sub;dub,FileMoon;FileMoon,publish,
