anime,title,number,released,video,type,host,status,thumbnail
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Episode 1,1,,https://filemoon.sx/e/17c7tbfvktfi/Cautious_Hero_-_The_Hero_Is_Overpowered_but_Overly_Cautious_S01E01_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/l6w8l0b01zp3,sub;sub,FileMoon;StreamWISH,publish,
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Episode 2,2,,https://filemoon.sx/e/9a16cu59vsv2/Cautious_Hero_-_The_Hero_Is_Overpowered_but_Overly_Cautious_S01E02_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/ruhik6dn4v6d,sub;sub,FileMoon;StreamWISH,publish,
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Episode 3,3,,https://filemoon.sx/e/9ctdresiskmf/Cautious_Hero_-_The_Hero_Is_Overpowered_but_Overly_Cautious_S01E03_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/hhazettzw44w,sub;sub,FileMoon;StreamWISH,publish,
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Episode 4,4,,https://filemoon.sx/e/8992izqos3n0/Cautious_Hero_-_The_Hero_Is_Overpowered_but_Overly_Cautious_S01E04_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/wenxs9mei2bp,sub;sub,FileMoon;StreamWISH,publish,
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Episode 5,5,,https://filemoon.sx/e/upqvztghvks7/Cautious_Hero_-_The_Hero_Is_Overpowered_but_Overly_Cautious_S01E05_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/dna4hsqjotbu,sub;sub,FileMoon;StreamWISH,publish,
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Episode 6,6,,https://filemoon.sx/e/hu0zedn0qm0h/Cautious_Hero_-_The_Hero_Is_Overpowered_but_Overly_Cautious_S01E06_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/yln2opxu1cnv,sub;sub,FileMoon;StreamWISH,publish,
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Episode 7,7,,https://filemoon.sx/e/q28url37brwm/Cautious_Hero_-_The_Hero_Is_Overpowered_but_Overly_Cautious_S01E07_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/1l7dy9oai7hi,sub;sub,FileMoon;StreamWISH,publish,
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Episode 8,8,,https://filemoon.sx/e/z3bu10bhvirf/Cautious_Hero_-_The_Hero_Is_Overpowered_but_Overly_Cautious_S01E08_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/x9knfvylmhyo,sub;sub,FileMoon;StreamWISH,publish,
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Episode 9,9,,https://filemoon.sx/e/2znno4ae3nk3/Cautious_Hero_-_The_Hero_Is_Overpowered_but_Overly_Cautious_S01E09_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/qe31nzzjhkgz,sub;sub,FileMoon;StreamWISH,publish,
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Episode 10,10,,https://filemoon.sx/e/47o2oundgl2z/Cautious_Hero_-_The_Hero_Is_Overpowered_but_Overly_Cautious_S01E10_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/lotajgxmpolc,sub;sub,FileMoon;StreamWISH,publish,
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Episode 11,11,,https://filemoon.sx/e/658uwm6u5e99/Cautious_Hero_-_The_Hero_Is_Overpowered_but_Overly_Cautious_S01E11_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/xgk7ydalz885,sub;sub,FileMoon;StreamWISH,publish,
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Episode 12,12,,https://filemoon.sx/e/xb9rpwld80xu/Cautious_Hero_-_The_Hero_Is_Overpowered_but_Overly_Cautious_S01E12_VOSTFR_1080p_WEB_AAC_-Tsundere-Raws__WKN_;https://embedwish.com/e/qahvmxj1bb71,sub;sub,FileMoon;StreamWISH,publish,
